NAME                                          CLUSTER-IP      EXTERNAL-IP   PORT(S)                                                                                                    AGE
pmlsbaseimage-internal                        10.233.11.227   <none>        8000/TCP,8001/TCP                                                                                          15d
pmlstestapp02                                 10.233.45.82    <nodes>       8080:32588/TCP,8001:32753/TCP,8002:31277/TCP,8003:30027/TCP,8004:30052/TCP,9090:32412/TCP,5000:30079/TCP   29d
pmmlseeddev101201                             10.233.33.34    <nodes>       8185:32010/TCP                                                                                             51d
pmmlseeddev101202                             10.233.7.110    <nodes>       8185:31726/TCP                                                                                             51d
pmmlseedtemplate1                             10.233.58.175   <nodes>       8185:31597/TCP                                                                                             64d
pmmltestappr15                                10.233.22.83    <nodes>       8185:32330/TCP                                                                                             38d
rmwebstart                                    10.233.43.178   <nodes>       8080:30155/TCP                                                                                             38d
sentence-detector-service                     10.233.6.36     <pending>     8080:31524/TCP                                                                                             19d
sentiment-analysis-service                    10.233.34.4     <pending>     8180:30092/TCP                                                                                             121d
spark-jar-service                             10.233.62.30    <pending>     8080:32199/TCP                                                                                             121d
spark-master-svc                              None            <none>        7077/TCP                                                                                                   115d
spark-service                                 10.233.25.182   <pending>     8020:30999/TCP                                                                                             126d
spark-yarn-service                            10.233.10.123   <pending>     8020:31899/TCP                                                                                             117d
sscfeng1                                      10.233.26.137   <nodes>       8080:31748/TCP                                                                                             52d
tf-imagerecognition-svc                       10.233.43.115   <nodes>       8080:32605/TCP,9001:31323/TCP                                                                              113d
tokenizer-service                             10.233.9.9      <pending>     8080:31525/TCP                                                                                             19d
wid-one-web-svc                               10.233.47.12    <nodes>       3000:32157/TCP                                                                                             94d
wid-three-web-svc                             10.233.33.195   <nodes>       3000:32161/TCP                                                                                             94d
wid-two-web-svc                               10.233.35.6     <nodes>       3000:32159/TCP                                                                                             94d
widget-modelmanage-web-svc                    10.233.13.7     <nodes>       8080:32195/TCP                                                                                             24d
widget-modelmanagetype-web-svc                10.233.44.202   <nodes>       8080:32193/TCP                                                                                             36d
wireframes-web-svc                            10.233.53.223   <nodes>       9002:30019/TCP                                                                                             43d
zookeepertest1-zookeeper-externalservice      10.233.55.0     <nodes>       2181:32538/TCP,2888:31997/TCP,3888:31430/TCP,7071:30232/TCP                                                16d
zookeepertest1-zookeeper-internalservice      None            <none>        2181/TCP,2888/TCP,3888/TCP,7071/TCP                                                                        16d
zookeepertestanil-zookeeper-externalservice   10.233.39.87    <nodes>       2181:31629/TCP,2888:32586/TCP,3888:31740/TCP,7071:31865/TCP                                                18d
zookeepertestanil-zookeeper-internalservice   None            <none>        2181/TCP,2888/TCP,3888/TCP,7071/TCP                                                                        18d

